Vinnytska; Khmelnytska, Zhytomyrska, Kyivska, Cherkaska, Kirovohradska, Odeska, Zhytomyrska, Zhytomyrska, Kyivska, Kirovohradska, Odeska, Khmelnytska, Cherkaska
Volynska; Rivnenska, Lvivska, Lvivska, Rivnenska
Dnipropetrovska; Donetska, Zaporizka, Khersonska, Mykolaivska, Kirovohradska, Poltavska, Kharkivska, Donetska, Donetska, Zaporizka, Kirovohradska, Mykolaivska, Poltavska, Kharkivska, Khersonska
Donetska; Zaporizka, Dnipropetrovska, Kharkivska, Luhanska, Dnipropetrovska, Zaporizka, Luhanska, Kharkivska
Zhytomyrska; Rivnenska, Khmelnytska, Vinnytska, Kyivska, Vinnytska, Kyivska, Rivnenska, Khmelnytska
Zakarpatska; Lvivska, Ivano-frankivska, Ivano-frankivska, Lvivska
Zaporizka; Khersonska, Dnipropetrovska, Donetska, Khersonska
Ivano-frankivska; Chernivetska, Lvivska, Ternopilska, Zakarpatska, Lvivska, Ternopilska, Chernivetska
Kyivska; Cherkaska, Poltavska, Chernihivska, Vinnytska, Zhytomyrska, Poltavska, Cherkaska, Chernihivska
Kirovohradska; Cherkaska, Poltavska, Mykolaivska, Vinnytska, Dnipropetrovska, Mykolaivska, Poltavska, Cherkaska
Luhanska; Kharkivska, Donetska, Kharkivska
Lvivska; Ternopilska, Rivnenska, Volynska, Zakarpatska, Ivano-frankivska, Rivnenska, Ternopilska
Mykolaivska; Odeska, Khersonska, Dnipropetrovska, Kirovohradska, Odeska, Odeska, Khersonska
Odeska; Mykolaivska, Vinnytska, Mykolaivska
Poltavska; Sumska, Chernihivska, Cherkaska, Kharkivska, Dnipropetrovska, Kyivska, Kirovohradska, Sumska, Kharkivska, Cherkaska, Chernihivska
Rivnenska; Ternopilska, Khmelnytska, Volynska, Zhytomyrska, Lvivska, Ternopilska, Khmelnytska
Sumska; Chernihivska, Kharkivska, Poltavska, Kharkivska, Chernihivska
Ternopilska; Khmelnytska, Chernivetska, Ivano-frankivska, Lvivska, Rivnenska, Khmelnytska, Chernivetska
Kharkivska; Dnipropetrovska, Donetska, Luhanska, Poltavska, Sumska
Khersonska; Crimea, Dnipropetrovska, Zaporizka, Mykolaivska, Crimea
Khmelnytska; Chernivetska, Vinnytska, Zhytomyrska, Rivnenska, Ternopilska, Chernivetska
Cherkaska; Vinnytska, Kyivska, Kirovohradska, Poltavska
Chernivetska; Ivano-frankivska, Ternopilska, Khmelnytska
Chernihivska; Kyivska, Poltavska, Sumska
Crimea; Khersonska
