Cost: 1692
Graph: ABABABABCABCABADABBDCBABCAACDABCAABCACBACABAABACABACCCDBBDABCDBCEADBCBDCAACAAEBBDD
Transmitter cost list: 19 20 21 23 36 37 38
Adygea A
Krasnodar B
Karachay-Cherkessia A
Kabardino-Balkaria B
North-Ossetia-Alania A
Ingushetia B
Chenya A
Dagestan B
Stavropol C
Kalmykia A
Astrakhan B
Volgograd C
Penza A
Ulyanovsk B
Samara A
Tatarstan D
Kursk A
Belgorod B
Lipetsk B
Voronezh D
Tambov C
Bryansk B
Smolensk A
Kaluga B
Oryol C
Tula A
Moscow A
Moskow-Oblast C
Ryazan D
Vladimir A
yaroslavl B
Ivanovo C
Kostroma A
Saint-Petersburg A
Leningrad-Oblast B
Pskkov C
Novgorod A
Mordovia C
Nizhny-Novgorod B
Chuvashia A
Mari-El C
Udmurtia A
Bashkortostan B
Chelyabinsk A
Kemerovo A
Khakassia B
Jewish-Autonomous-Oblast A
Vologda C
Karelia A
Arkhangelsk B
Komi A
Nenets C
Perm C
Orenburg C
Sverdlovsk D
Kurgan B
Khanty-Mansi B
Yamalo-Nenets D
Tyumen A
Omsk B
Tomsk C
Novosibirsk D
Altai-Krai B
Altai-Republic C
Krasnoyarsk E
Irkutsk A
Tuva D
Buryatia B
Zabaykalsky C
Sakha-(Yakutia) B
Amur D
Khabarovsk C
Primorsky A
Magadan A
Chukotka C
Kamchatka A
Sakhalin A
Saratov E
Rostov B
Murmansk B
Kirov D
Tver D


