Cost: 1646 
Cost list: [19, 20, 21, 23, 36, 37, 38]
Graph: AABABBABAAABABACABACBBABCBACDABCAABCABADBABAAAACABABCDBACDDABCDBCABABDCABBAAADCADB
Adygea A
Krasnodar A
Karachay-Cherkessia B
Kabardino-Balkaria A
North-Ossetia-Alania B
Ingushetia B
Chenya A
Dagestan B
Stavropol A
Kalmykia A
Astrakhan A
Volgograd B
Penza A
Ulyanovsk B
Samara A
Tatarstan C
Kursk A
Belgorod B
Lipetsk A
Voronezh C
Tambov B
Bryansk B
Smolensk A
Kaluga B
Oryol C
Tula B
Moscow A
Moskow-Oblast C
Ryazan D
Vladimir A
yaroslavl B
Ivanovo C
Kostroma A
Saint-Petersburg A
Leningrad-Oblast B
Pskkov C
Novgorod A
Mordovia B
Nizhny-Novgorod A
Chuvashia D
Mari-El B
Udmurtia A
Bashkortostan B
Chelyabinsk A
Kemerovo A
Khakassia A
Jewish-Autonomous-Oblast A
Vologda C
Karelia A
Arkhangelsk B
Komi A
Nenets B
Perm C
Orenburg D
Sverdlovsk B
Kurgan A
Khanty-Mansi C
Yamalo-Nenets D
Tyumen D
Omsk A
Tomsk B
Novosibirsk C
Altai-Krai D
Altai-Republic B
Krasnoyarsk C
Irkutsk A
Tuva B
Buryatia A
Zabaykalsky B
Sakha-(Yakutia) D
Amur C
Khabarovsk A
Primorsky B
Magadan B
Chukotka A
Kamchatka A
Sakhalin A
Saratov D
Rostov C
Murmansk A
Kirov D
Tver B


